,mean,sd,hdi_3%,hdi_97%
beta_6[43],-0.298,0.054,-0.39,-0.188
beta_6[3],-0.281,0.049,-0.374,-0.19
beta_6[49],-0.29,0.05,-0.393,-0.2
beta_6[46],-0.099,0.065,-0.227,0.021
beta_6[37],-0.3,0.054,-0.407,-0.205
beta_6[31],-0.285,0.05,-0.382,-0.191
beta_6[9],-0.226,0.062,-0.352,-0.115
beta_6[16],-0.289,0.048,-0.375,-0.194
beta_6[28],-0.29,0.052,-0.389,-0.187
beta_6[41],-0.283,0.047,-0.384,-0.201
beta_6[11],-0.156,0.053,-0.256,-0.056
beta_6[25],-0.289,0.049,-0.382,-0.199
beta_6[35],-0.292,0.049,-0.384,-0.2
beta_6[22],-0.289,0.05,-0.39,-0.196
beta_6[27],-0.246,0.069,-0.381,-0.122
beta_6[2],-0.297,0.052,-0.399,-0.202
beta_6[47],-0.1,0.066,-0.232,0.024
beta_6[5],-0.276,0.053,-0.384,-0.183
beta_6[36],-0.281,0.051,-0.38,-0.186
beta_6[48],-0.289,0.049,-0.379,-0.192
g_beta_7[0],0.081,0.033,0.017,0.141
g_beta_7[1],0.087,0.065,-0.039,0.197
g_beta_7[2],-0.249,0.067,-0.369,-0.118
beta_7[1],0.074,0.048,-0.025,0.153
beta_7[18],0.083,0.043,0.002,0.161
beta_7[39],-0.151,0.068,-0.272,-0.011
beta_7[8],0.16,0.071,0.024,0.281
beta_7[10],-0.177,0.06,-0.292,-0.063
beta_7[0],0.161,0.07,0.031,0.285
beta_7[19],0.078,0.046,-0.016,0.158
beta_7[12],-0.171,0.063,-0.292,-0.045
beta_7[7],0.085,0.043,0.0,0.169
beta_7[6],0.168,0.069,0.036,0.279
beta_7[21],0.085,0.045,-0.016,0.159
beta_7[20],0.066,0.054,-0.039,0.154
beta_7[33],0.076,0.047,-0.02,0.155
beta_7[45],0.075,0.047,-0.018,0.156
beta_7[17],0.081,0.045,-0.01,0.16
beta_7[29],0.086,0.043,-0.002,0.159
beta_7[40],-0.156,0.067,-0.278,-0.032
beta_7[38],0.089,0.042,0.012,0.175
beta_7[24],-0.178,0.06,-0.293,-0.062
beta_7[34],0.08,0.044,-0.001,0.168
beta_7[44],0.084,0.045,-0.007,0.165
beta_7[30],0.176,0.073,0.033,0.298
beta_7[23],0.076,0.046,-0.013,0.158
beta_7[32],0.164,0.071,0.035,0.29
beta_7[15],0.081,0.046,-0.006,0.164
beta_7[4],0.082,0.044,-0.004,0.159
beta_7[26],-0.163,0.063,-0.275,-0.036
beta_7[42],0.175,0.069,0.043,0.289
beta_7[13],0.077,0.047,-0.019,0.158
beta_7[14],0.09,0.042,0.004,0.167
beta_7[43],0.074,0.05,-0.025,0.164
beta_7[3],0.086,0.043,0.003,0.169
beta_7[49],0.08,0.05,-0.028,0.166
beta_7[46],-0.082,0.084,-0.258,0.059
beta_7[37],0.081,0.047,-0.013,0.166
beta_7[31],0.081,0.045,-0.012,0.163
beta_7[9],0.165,0.07,0.033,0.29
beta_7[16],0.081,0.045,-0.014,0.159
beta_7[28],0.078,0.046,-0.008,0.162
beta_7[41],0.074,0.048,-0.024,0.154
beta_7[11],-0.176,0.059,-0.289,-0.063
beta_7[25],0.083,0.044,0.0,0.168
beta_7[35],0.079,0.046,-0.01,0.161
beta_7[22],0.084,0.042,0.002,0.166
beta_7[27],0.174,0.069,0.04,0.293
beta_7[2],0.082,0.045,-0.005,0.164
beta_7[47],-0.081,0.084,-0.243,0.074
beta_7[5],0.09,0.045,-0.005,0.17
beta_7[36],0.086,0.043,0.003,0.164
beta_7[48],0.085,0.043,-0.005,0.158
g_beta_8[0],-0.371,0.033,-0.426,-0.308
g_beta_8[1],-0.007,0.057,-0.123,0.088
g_beta_8[2],0.189,0.06,0.084,0.307
beta_8[1],-0.367,0.043,-0.448,-0.286
beta_8[18],-0.375,0.042,-0.448,-0.292
beta_8[39],-0.179,0.054,-0.284,-0.082
beta_8[8],-0.383,0.065,-0.511,-0.267
beta_8[10],-0.186,0.053,-0.279,-0.078
beta_8[0],-0.375,0.063,-0.504,-0.261
beta_8[19],-0.373,0.041,-0.444,-0.295
beta_8[12],-0.179,0.054,-0.274,-0.072
beta_8[7],-0.361,0.043,-0.438,-0.28
beta_8[6],-0.377,0.065,-0.512,-0.267
beta_8[21],-0.373,0.041,-0.445,-0.296
beta_8[20],-0.369,0.041,-0.437,-0.285
beta_8[33],-0.357,0.045,-0.434,-0.269
beta_8[45],-0.38,0.043,-0.454,-0.299
beta_8[17],-0.369,0.04,-0.443,-0.298
beta_8[29],-0.366,0.045,-0.449,-0.284
beta_8[40],-0.183,0.055,-0.286,-0.08
beta_8[38],-0.366,0.043,-0.445,-0.288
beta_8[24],-0.181,0.054,-0.276,-0.075
beta_8[34],-0.362,0.041,-0.436,-0.282
beta_8[44],-0.383,0.044,-0.461,-0.3
beta_8[30],-0.375,0.064,-0.497,-0.255
beta_8[23],-0.377,0.043,-0.453,-0.298
beta_8[32],-0.372,0.065,-0.496,-0.248
beta_8[15],-0.367,0.044,-0.451,-0.289
beta_8[4],-0.377,0.041,-0.446,-0.296
beta_8[26],-0.185,0.056,-0.29,-0.077
beta_8[42],-0.389,0.064,-0.506,-0.264
beta_8[13],-0.363,0.044,-0.436,-0.276
beta_8[14],-0.373,0.041,-0.445,-0.295
beta_8[43],-0.369,0.042,-0.443,-0.29
beta_8[3],-0.372,0.041,-0.447,-0.292
beta_8[49],-0.369,0.041,-0.444,-0.292
beta_8[46],-0.189,0.069,-0.307,-0.052
beta_8[37],-0.367,0.042,-0.444,-0.291
beta_8[31],-0.374,0.042,-0.448,-0.293
beta_8[9],-0.381,0.064,-0.504,-0.262
beta_8[16],-0.379,0.042,-0.451,-0.297
beta_8[28],-0.37,0.043,-0.448,-0.289
beta_8[41],-0.372,0.043,-0.447,-0.289
beta_8[11],-0.184,0.053,-0.282,-0.08
beta_8[25],-0.366,0.044,-0.443,-0.287
beta_8[35],-0.366,0.043,-0.44,-0.282
beta_8[22],-0.375,0.042,-0.453,-0.298
beta_8[27],-0.376,0.064,-0.506,-0.26
beta_8[2],-0.374,0.04,-0.446,-0.3
beta_8[47],-0.184,0.069,-0.314,-0.055
beta_8[5],-0.373,0.041,-0.446,-0.292
beta_8[36],-0.374,0.041,-0.45,-0.3
beta_8[48],-0.368,0.041,-0.44,-0.288
g_beta_9[0],0.335,0.027,0.28,0.379
g_beta_9[1],-0.077,0.054,-0.173,0.026
g_beta_9[2],-0.108,0.044,-0.187,-0.023
beta_9[1],0.337,0.04,0.266,0.415
beta_9[18],0.345,0.045,0.262,0.439
beta_9[39],0.237,0.051,0.143,0.336
beta_9[8],0.266,0.059,0.169,0.383
beta_9[10],0.219,0.045,0.134,0.303
beta_9[0],0.253,0.058,0.154,0.364
beta_9[19],0.35,0.043,0.27,0.433
beta_9[12],0.227,0.049,0.144,0.332
beta_9[7],0.344,0.046,0.257,0.432
beta_9[6],0.272,0.062,0.163,0.392
beta_9[21],0.326,0.042,0.25,0.403
beta_9[20],0.336,0.036,0.269,0.403
beta_9[33],0.342,0.04,0.267,0.416
beta_9[45],0.326,0.041,0.248,0.406
