,mean,sd,hdi_3%,hdi_97%
beta_10[40],-0.142,0.055,-0.248,-0.045
beta_10[38],-0.103,0.047,-0.202,-0.022
beta_10[24],-0.157,0.054,-0.257,-0.057
beta_10[34],-0.082,0.047,-0.169,0.011
beta_10[44],-0.085,0.05,-0.177,0.019
beta_10[30],-0.035,0.071,-0.157,0.106
beta_10[23],-0.084,0.048,-0.167,0.023
beta_10[32],-0.067,0.056,-0.168,0.045
beta_10[15],-0.102,0.045,-0.194,-0.016
beta_10[4],-0.089,0.043,-0.179,-0.01
beta_10[26],-0.174,0.066,-0.296,-0.052
beta_10[42],-0.072,0.052,-0.174,0.024
beta_10[13],-0.074,0.049,-0.159,0.017
beta_10[14],-0.076,0.049,-0.158,0.022
beta_10[43],-0.083,0.044,-0.16,0.009
beta_10[3],-0.116,0.054,-0.225,-0.029
beta_10[49],-0.076,0.047,-0.156,0.018
beta_10[46],-0.108,0.065,-0.23,0.015
beta_10[37],-0.119,0.056,-0.244,-0.034
beta_10[31],-0.114,0.053,-0.22,-0.019
beta_10[9],-0.087,0.06,-0.192,0.033
beta_10[16],-0.107,0.051,-0.21,-0.022
beta_10[28],-0.091,0.045,-0.177,0.002
beta_10[41],-0.108,0.046,-0.199,-0.025
beta_10[11],-0.172,0.059,-0.278,-0.062
beta_10[25],-0.07,0.054,-0.159,0.038
beta_10[35],-0.105,0.047,-0.19,-0.014
beta_10[22],-0.093,0.044,-0.183,-0.01
beta_10[27],-0.049,0.062,-0.166,0.067
beta_10[2],-0.087,0.043,-0.167,-0.002
beta_10[47],-0.125,0.06,-0.24,-0.019
beta_10[5],-0.092,0.044,-0.178,-0.008
beta_10[36],-0.084,0.048,-0.161,0.026
beta_10[48],-0.093,0.043,-0.175,-0.011
g_beta_11[0],0.229,0.043,0.145,0.303
g_beta_11[1],0.349,0.092,0.191,0.524
g_beta_11[2],-0.248,0.075,-0.384,-0.115
beta_11[1],0.245,0.071,0.115,0.378
beta_11[18],0.224,0.065,0.104,0.341
beta_11[39],-0.013,0.077,-0.171,0.123
beta_11[8],0.572,0.094,0.395,0.752
beta_11[10],-0.027,0.074,-0.163,0.112
beta_11[0],0.567,0.097,0.39,0.759
beta_11[19],0.228,0.062,0.112,0.34
beta_11[12],-0.021,0.072,-0.157,0.111
beta_11[7],0.214,0.062,0.105,0.331
beta_11[6],0.59,0.094,0.419,0.774
beta_11[21],0.231,0.064,0.12,0.355
beta_11[20],0.238,0.067,0.107,0.362
beta_11[33],0.24,0.066,0.124,0.366
beta_11[45],0.248,0.071,0.119,0.378
beta_11[17],0.215,0.065,0.098,0.337
beta_11[29],0.228,0.067,0.11,0.362
beta_11[40],-0.005,0.078,-0.148,0.142
beta_11[38],0.235,0.066,0.124,0.361
beta_11[24],-0.015,0.077,-0.166,0.13
beta_11[34],0.224,0.063,0.11,0.342
beta_11[44],0.252,0.075,0.115,0.394
beta_11[30],0.585,0.094,0.425,0.779
beta_11[23],0.233,0.073,0.096,0.35
beta_11[32],0.555,0.1,0.364,0.749
beta_11[15],0.228,0.07,0.104,0.361
beta_11[4],0.21,0.061,0.097,0.321
beta_11[26],-0.016,0.077,-0.158,0.125
beta_11[42],0.585,0.094,0.406,0.759
beta_11[13],0.24,0.067,0.121,0.379
beta_11[14],0.216,0.061,0.106,0.331
beta_11[43],0.215,0.06,0.104,0.321
beta_11[3],0.205,0.063,0.088,0.32
beta_11[49],0.232,0.064,0.122,0.364
beta_11[46],0.322,0.105,0.134,0.539
beta_11[37],0.225,0.065,0.103,0.346
beta_11[31],0.246,0.072,0.122,0.392
beta_11[9],0.576,0.093,0.415,0.763
beta_11[16],0.217,0.06,0.1,0.328
beta_11[28],0.247,0.073,0.113,0.384
beta_11[41],0.201,0.068,0.087,0.334
beta_11[11],-0.024,0.077,-0.169,0.12
beta_11[25],0.225,0.065,0.112,0.356
beta_11[35],0.222,0.061,0.108,0.336
beta_11[22],0.243,0.073,0.112,0.386
beta_11[27],0.606,0.102,0.435,0.801
beta_11[2],0.242,0.069,0.116,0.372
beta_11[47],0.326,0.105,0.141,0.549
beta_11[5],0.217,0.064,0.103,0.345
beta_11[36],0.241,0.071,0.118,0.383
beta_11[48],0.221,0.062,0.106,0.337
g_beta_12[0],0.191,0.026,0.145,0.245
g_beta_12[1],-0.025,0.049,-0.118,0.065
g_beta_12[2],-0.046,0.048,-0.133,0.042
beta_12[1],0.199,0.041,0.128,0.283
beta_12[18],0.19,0.039,0.114,0.262
beta_12[39],0.151,0.052,0.052,0.252
beta_12[8],0.172,0.053,0.073,0.271
beta_12[10],0.136,0.052,0.027,0.231
beta_12[0],0.166,0.053,0.068,0.264
beta_12[19],0.19,0.043,0.102,0.268
beta_12[12],0.138,0.053,0.029,0.239
beta_12[7],0.197,0.042,0.124,0.283
beta_12[6],0.164,0.056,0.061,0.269
beta_12[21],0.207,0.046,0.128,0.296
beta_12[20],0.184,0.044,0.095,0.262
beta_12[33],0.189,0.041,0.109,0.267
beta_12[45],0.192,0.04,0.113,0.264
beta_12[17],0.192,0.042,0.113,0.275
beta_12[29],0.206,0.042,0.132,0.29
beta_12[40],0.154,0.053,0.046,0.25
beta_12[38],0.184,0.042,0.104,0.261
beta_12[24],0.144,0.048,0.051,0.232
beta_12[34],0.202,0.038,0.127,0.27
beta_12[44],0.188,0.04,0.106,0.257
beta_12[30],0.163,0.053,0.066,0.259
beta_12[23],0.206,0.041,0.127,0.292
beta_12[32],0.169,0.055,0.067,0.27
beta_12[15],0.173,0.054,0.051,0.259
beta_12[4],0.198,0.04,0.113,0.268
beta_12[26],0.159,0.055,0.056,0.264
beta_12[42],0.16,0.054,0.057,0.253
beta_12[13],0.177,0.045,0.087,0.253
beta_12[14],0.182,0.042,0.102,0.255
beta_12[43],0.181,0.045,0.092,0.26
beta_12[3],0.183,0.044,0.087,0.257
beta_12[49],0.198,0.04,0.114,0.272
beta_12[46],0.129,0.057,0.023,0.233
beta_12[37],0.2,0.035,0.133,0.265
beta_12[31],0.184,0.042,0.106,0.262
beta_12[9],0.157,0.057,0.052,0.257
beta_12[16],0.187,0.041,0.104,0.26
beta_12[28],0.187,0.04,0.107,0.265
beta_12[41],0.194,0.038,0.123,0.269
beta_12[11],0.13,0.058,0.025,0.24
beta_12[25],0.19,0.042,0.106,0.267
beta_12[35],0.187,0.039,0.109,0.26
beta_12[22],0.189,0.043,0.1,0.265
beta_12[27],0.179,0.06,0.062,0.288
beta_12[2],0.195,0.042,0.102,0.268
beta_12[47],0.107,0.057,0.003,0.211
beta_12[5],0.19,0.039,0.115,0.26
beta_12[36],0.197,0.041,0.118,0.277
beta_12[48],0.192,0.047,0.107,0.273
g_beta_13[0],0.613,0.05,0.521,0.703
g_beta_13[1],-0.136,0.101,-0.321,0.043
g_beta_13[2],-0.232,0.09,-0.399,-0.074
beta_13[1],0.618,0.078,0.475,0.769
beta_13[18],0.602,0.079,0.438,0.744
beta_13[39],0.407,0.107,0.187,0.599
beta_13[8],0.48,0.102,0.296,0.674
beta_13[10],0.369,0.095,0.174,0.534
beta_13[0],0.471,0.101,0.28,0.661
beta_13[19],0.595,0.076,0.447,0.731
beta_13[12],0.347,0.106,0.141,0.543
beta_13[7],0.606,0.072,0.46,0.73
beta_13[6],0.484,0.102,0.304,0.681
beta_13[21],0.616,0.077,0.469,0.761
beta_13[20],0.609,0.073,0.458,0.738
beta_13[33],0.615,0.075,0.47,0.763
beta_13[45],0.637,0.082,0.485,0.786
beta_13[17],0.617,0.073,0.479,0.761
beta_13[29],0.626,0.076,0.485,0.776
beta_13[40],0.393,0.096,0.214,0.582
beta_13[38],0.611,0.072,0.477,0.746
beta_13[24],0.379,0.098,0.187,0.56
beta_13[34],0.612,0.077,0.456,0.749
beta_13[44],0.62,0.076,0.471,0.761
beta_13[30],0.496,0.103,0.308,0.683
beta_13[23],0.579,0.086,0.402,0.721
beta_13[32],0.431,0.116,0.211,0.646
beta_13[15],0.612,0.077,0.47,0.768
beta_13[4],0.626,0.075,0.477,0.757
beta_13[26],0.385,0.099,0.201,0.58
beta_13[42],0.485,0.105,0.296,0.68
beta_13[13],0.587,0.079,0.426,0.722
beta_13[14],0.601,0.075,0.463,0.741
beta_13[43],0.603,0.075,0.457,0.741
beta_13[3],0.607,0.075,0.462,0.757
beta_13[49],0.631,0.075,0.48,0.765
beta_13[46],0.236,0.116,-0.003,0.424
beta_13[37],0.651,0.089,0.497,0.818
beta_13[31],0.648,0.089,0.486,0.813
beta_13[9],0.46,0.104,0.268,0.657
beta_13[16],0.604,0.075,0.463,0.734
beta_13[28],0.592,0.079,0.446,0.738
beta_13[41],0.6,0.076,0.443,0.737
beta_13[11],0.374,0.094,0.17,0.53
beta_13[25],0.625,0.08,0.476,0.783
beta_13[35],0.612,0.075,0.465,0.752
beta_13[22],0.619,0.076,0.469,0.762
beta_13[27],0.498,0.105,0.3,0.688
beta_13[2],0.597,0.075,0.449,0.737
beta_13[47],0.265,0.121,0.045,0.504
beta_13[5],0.629,0.077,0.484,0.779
beta_13[36],0.593,0.08,0.433,0.73
beta_13[48],0.619,0.077,0.47,0.756
g_beta_14[0],-0.047,0.021,-0.085,-0.006
g_beta_14[1],-0.142,0.057,-0.241,-0.017
g_beta_14[2],0.085,0.045,-0.001,0.169
beta_14[1],-0.047,0.047,-0.14,0.04
beta_14[18],-0.046,0.043,-0.125,0.043
beta_14[39],0.047,0.054,-0.053,0.154
beta_14[8],-0.189,0.061,-0.295,-0.063
beta_14[10],0.039,0.049,-0.06,0.124
beta_14[0],-0.188,0.062,-0.291,-0.056
beta_14[19],-0.049,0.039,-0.123,0.023
beta_14[12],0.067,0.053,-0.03,0.169
beta_14[7],-0.052,0.04,-0.13,0.025
beta_14[6],-0.195,0.063,-0.305,-0.064
beta_14[21],-0.041,0.044,-0.128,0.039
beta_14[20],-0.015,0.048,-0.095,0.085
beta_14[33],-0.027,0.043,-0.106,0.058
beta_14[45],-0.06,0.045,-0.163,0.012
beta_14[17],-0.048,0.042,-0.126,0.035
beta_14[29],-0.081,0.049,-0.177,-0.002
beta_14[40],0.021,0.055,-0.086,0.122
beta_14[38],-0.028,0.045,-0.106,0.061
beta_14[24],0.029,0.051,-0.077,0.117
beta_14[34],-0.057,0.044,-0.144,0.029
beta_14[44],-0.046,0.042,-0.119,0.042
beta_14[30],-0.194,0.06,-0.299,-0.065
beta_14[23],-0.054,0.044,-0.146,0.023
beta_14[32],-0.188,0.061,-0.299,-0.064
beta_14[15],-0.066,0.045,-0.155,0.02
beta_14[4],-0.032,0.041,-0.105,0.051
beta_14[26],0.015,0.056,-0.101,0.108
beta_14[42],-0.184,0.061,-0.282,-0.044
beta_14[13],-0.057,0.042,-0.145,0.015
beta_14[14],-0.069,0.046,-0.161,0.011
beta_14[43],-0.042,0.04,-0.116,0.04
beta_14[3],-0.047,0.041,-0.132,0.025
beta_14[49],-0.059,0.042,-0.15,0.008
beta_14[46],-0.091,0.065,-0.208,0.045
beta_14[37],-0.015,0.048,-0.097,0.08
beta_14[31],-0.038,0.043,-0.122,0.041
beta_14[9],-0.198,0.062,-0.318,-0.072
beta_14[16],-0.038,0.038,-0.107,0.036
beta_14[28],-0.04,0.043,-0.125,0.039
beta_14[41],-0.042,0.04,-0.117,0.036
beta_14[11],0.046,0.05,-0.053,0.145
beta_14[25],-0.03,0.044,-0.101,0.06
beta_14[35],-0.07,0.045,-0.163,0.003
beta_14[22],-0.049,0.042,-0.124,0.038
beta_14[27],-0.18,0.062,-0.292,-0.057
beta_14[2],-0.054,0.041,-0.138,0.021
beta_14[47],-0.112,0.064,-0.228,0.008
beta_14[5],-0.048,0.043,-0.137,0.03
beta_14[36],-0.046,0.044,-0.13,0.038
beta_14[48],-0.051,0.043,-0.131,0.036
g_beta_15[0],-0.118,0.027,-0.168,-0.063
g_beta_15[1],-0.083,0.065,-0.198,0.038
g_beta_15[2],0.12,0.054,0.029,0.228
beta_15[1],-0.119,0.04,-0.191,-0.037
beta_15[18],-0.109,0.041,-0.184,-0.027
beta_15[39],-0.002,0.058,-0.103,0.105
beta_15[8],-0.2,0.066,-0.315,-0.072
beta_15[10],0.003,0.055,-0.091,0.107
beta_15[0],-0.198,0.066,-0.327,-0.081
beta_15[19],-0.106,0.042,-0.183,-0.02
beta_15[12],0.004,0.054,-0.09,0.106
beta_15[7],-0.116,0.037,-0.184,-0.039
beta_15[6],-0.198,0.065,-0.323,-0.083
beta_15[21],-0.121,0.039,-0.193,-0.047
beta_15[20],-0.119,0.039,-0.193,-0.044
beta_15[33],-0.114,0.04,-0.18,-0.027
beta_15[45],-0.125,0.039,-0.202,-0.05
beta_15[17],-0.12,0.04,-0.198,-0.041
beta_15[29],-0.123,0.039,-0.2,-0.05
beta_15[40],-0.009,0.061,-0.117,0.101
beta_15[38],-0.115,0.039,-0.191,-0.04
beta_15[24],0.002,0.056,-0.098,0.103
beta_15[34],-0.114,0.039,-0.178,-0.026
beta_15[44],-0.123,0.039,-0.194,-0.046
beta_15[30],-0.212,0.069,-0.339,-0.08
beta_15[23],-0.122,0.04,-0.201,-0.045
beta_15[32],-0.206,0.066,-0.319,-0.072
beta_15[15],-0.11,0.04,-0.186,-0.037
beta_15[4],-0.115,0.04,-0.19,-0.035
beta_15[26],0.012,0.057,-0.092,0.114
beta_15[42],-0.203,0.068,-0.323,-0.07
beta_15[13],-0.117,0.041,-0.19,-0.034
beta_15[14],-0.118,0.04,-0.192,-0.041
beta_15[43],-0.122,0.039,-0.203,-0.05
beta_15[3],-0.116,0.039,-0.186,-0.04
beta_15[49],-0.119,0.04,-0.192,-0.035
beta_15[46],-0.086,0.071,-0.21,0.059
beta_15[37],-0.113,0.041,-0.185,-0.026
beta_15[31],-0.114,0.043,-0.193,-0.023
beta_15[9],-0.192,0.067,-0.315,-0.067
beta_15[16],-0.123,0.04,-0.203,-0.053
beta_15[28],-0.111,0.043,-0.188,-0.023
beta_15[41],-0.124,0.039,-0.201,-0.048
beta_15[11],0.009,0.055,-0.093,0.104
beta_15[25],-0.13,0.041,-0.211,-0.056
beta_15[35],-0.122,0.038,-0.194,-0.05
beta_15[22],-0.128,0.04,-0.208,-0.055
beta_15[27],-0.196,0.068,-0.32,-0.06
beta_15[2],-0.115,0.039,-0.183,-0.036
beta_15[47],-0.081,0.072,-0.223,0.046
beta_15[5],-0.117,0.04,-0.187,-0.034
beta_15[36],-0.119,0.041,-0.197,-0.036
beta_15[48],-0.118,0.041,-0.188,-0.031
g_beta_16[0],0.446,0.036,0.378,0.512
g_beta_16[1],0.038,0.069,-0.095,0.151
g_beta_16[2],-0.043,0.059,-0.161,0.078
beta_16[1],0.43,0.056,0.327,0.528
beta_16[18],0.448,0.044,0.37,0.535
beta_16[39],0.411,0.055,0.303,0.509
beta_16[8],0.494,0.065,0.366,0.611
beta_16[10],0.397,0.052,0.297,0.489
beta_16[0],0.487,0.063,0.363,0.601
beta_16[19],0.457,0.046,0.375,0.542
beta_16[12],0.401,0.052,0.3,0.49
beta_16[7],0.45,0.046,0.363,0.534
beta_16[6],0.479,0.062,0.36,0.596
beta_16[21],0.432,0.054,0.333,0.528
beta_16[20],0.448,0.046,0.365,0.532
beta_16[33],0.444,0.046,0.354,0.524
beta_16[45],0.453,0.046,0.364,0.534
beta_16[17],0.446,0.047,0.366,0.539
beta_16[29],0.435,0.051,0.343,0.525
beta_16[40],0.405,0.053,0.296,0.494
beta_16[38],0.439,0.049,0.343,0.525
beta_16[24],0.401,0.053,0.297,0.494
beta_16[34],0.447,0.045,0.366,0.529
beta_16[44],0.44,0.051,0.34,0.529
beta_16[30],0.484,0.063,0.363,0.597
beta_16[23],0.436,0.05,0.35,0.531
beta_16[32],0.488,0.064,0.369,0.61
beta_16[15],0.466,0.048,0.367,0.545
beta_16[4],0.454,0.046,0.365,0.533
beta_16[26],0.414,0.054,0.311,0.514
beta_16[42],0.47,0.064,0.344,0.587
beta_16[13],0.445,0.045,0.366,0.53
beta_16[14],0.45,0.046,0.365,0.534
beta_16[43],0.441,0.047,0.36,0.531
beta_16[3],0.458,0.046,0.367,0.533
beta_16[49],0.443,0.046,0.357,0.526
beta_16[46],0.434,0.078,0.286,0.589
beta_16[37],0.446,0.045,0.363,0.529
beta_16[31],0.436,0.052,0.343,0.532
beta_16[9],0.488,0.063,0.367,0.605
beta_16[16],0.462,0.047,0.368,0.543
beta_16[28],0.443,0.047,0.357,0.53
beta_16[41],0.444,0.046,0.361,0.528
beta_16[11],0.396,0.053,0.294,0.488
beta_16[25],0.45,0.046,0.367,0.535
beta_16[35],0.446,0.046,0.362,0.534
beta_16[22],0.44,0.048,0.354,0.526
beta_16[27],0.487,0.063,0.37,0.607
beta_16[2],0.446,0.045,0.362,0.529
beta_16[47],0.445,0.08,0.283,0.593
beta_16[5],0.458,0.046,0.363,0.537
beta_16[36],0.449,0.046,0.359,0.535
beta_16[48],0.426,0.056,0.326,0.53
g_beta_17[0],-0.001,0.045,-0.095,0.083
g_beta_17[1],-0.181,0.085,-0.33,-0.013
g_beta_17[2],0.356,0.077,0.211,0.497
beta_17[1],-0.007,0.058,-0.119,0.096
beta_17[18],0.006,0.059,-0.115,0.103
beta_17[39],0.348,0.085,0.189,0.499
beta_17[8],-0.18,0.084,-0.336,-0.014
beta_17[10],0.355,0.081,0.2,0.502
beta_17[0],-0.178,0.083,-0.331,-0.016
beta_17[19],-0.007,0.057,-0.114,0.096
beta_17[12],0.362,0.082,0.19,0.497
beta_17[7],-0.007,0.057,-0.114,0.097
beta_17[6],-0.181,0.083,-0.343,-0.025
beta_17[21],-0.008,0.057,-0.123,0.09
beta_17[20],0.001,0.059,-0.115,0.107
beta_17[33],0.002,0.058,-0.112,0.109
beta_17[45],-0.0,0.058,-0.115,0.102
beta_17[17],-0.005,0.057,-0.118,0.098
beta_17[29],-0.001,0.059,-0.12,0.099
beta_17[40],0.358,0.083,0.19,0.498
beta_17[38],0.009,0.061,-0.105,0.126
beta_17[24],0.36,0.082,0.198,0.501
beta_17[34],0.006,0.059,-0.11,0.113
beta_17[44],-0.006,0.058,-0.126,0.093
beta_17[30],-0.198,0.087,-0.36,-0.027
beta_17[23],0.001,0.057,-0.114,0.104
beta_17[32],-0.191,0.084,-0.361,-0.039
beta_17[15],0.012,0.062,-0.112,0.121
beta_17[4],-0.009,0.057,-0.122,0.091
beta_17[26],0.33,0.09,0.169,0.498
beta_17[42],-0.179,0.084,-0.344,-0.03
beta_17[13],-0.006,0.057,-0.118,0.096
beta_17[14],-0.005,0.058,-0.118,0.095
beta_17[43],-0.012,0.06,-0.124,0.097
beta_17[3],-0.003,0.056,-0.116,0.095
beta_17[49],-0.016,0.058,-0.122,0.093
beta_17[46],0.176,0.099,-0.012,0.373
beta_17[37],0.004,0.059,-0.116,0.104
beta_17[31],-0.007,0.059,-0.125,0.096
beta_17[9],-0.177,0.084,-0.331,-0.017
beta_17[16],0.003,0.055,-0.099,0.112
beta_17[28],0.004,0.058,-0.109,0.108
beta_17[41],0.009,0.061,-0.106,0.126
beta_17[11],0.369,0.083,0.198,0.507
beta_17[25],-0.011,0.057,-0.118,0.093
beta_17[35],0.01,0.061,-0.114,0.119
beta_17[22],0.013,0.062,-0.114,0.123
beta_17[27],-0.175,0.087,-0.352,-0.022
beta_17[2],-0.011,0.056,-0.118,0.093
beta_17[47],0.168,0.099,-0.034,0.35
beta_17[5],-0.003,0.057,-0.117,0.094
beta_17[36],-0.004,0.058,-0.119,0.102
beta_17[48],-0.004,0.056,-0.114,0.097
g_beta_18[0],0.377,0.022,0.333,0.415
g_beta_18[1],0.039,0.057,-0.075,0.139
g_beta_18[2],-0.163,0.041,-0.241,-0.088
beta_18[1],0.386,0.034,0.321,0.451
beta_18[18],0.378,0.03,0.325,0.437
beta_18[39],0.217,0.042,0.131,0.292
beta_18[8],0.423,0.058,0.314,0.528
beta_18[10],0.209,0.04,0.132,0.284
beta_18[0],0.414,0.056,0.306,0.52
beta_18[19],0.368,0.032,0.306,0.423
beta_18[12],0.205,0.041,0.125,0.277
beta_18[7],0.375,0.031,0.318,0.432
beta_18[6],0.417,0.057,0.312,0.524
beta_18[21],0.376,0.033,0.314,0.432
beta_18[20],0.383,0.033,0.324,0.446
beta_18[33],0.377,0.03,0.321,0.43
beta_18[45],0.377,0.033,0.314,0.438
beta_18[17],0.379,0.032,0.325,0.438
beta_18[29],0.377,0.031,0.316,0.432
beta_18[40],0.213,0.041,0.134,0.286
beta_18[38],0.38,0.031,0.327,0.442
beta_18[24],0.215,0.041,0.134,0.289
beta_18[34],0.376,0.032,0.309,0.43
beta_18[44],0.378,0.033,0.322,0.447
beta_18[30],0.419,0.058,0.307,0.525
beta_18[23],0.379,0.032,0.319,0.435
beta_18[32],0.405,0.058,0.289,0.506
beta_18[15],0.372,0.03,0.316,0.428
beta_18[4],0.38,0.034,0.321,0.447
beta_18[26],0.217,0.042,0.135,0.292
beta_18[42],0.414,0.056,0.306,0.519
beta_18[13],0.374,0.03,0.319,0.431
beta_18[14],0.372,0.03,0.318,0.43
beta_18[43],0.375,0.031,0.317,0.432
beta_18[3],0.373,0.031,0.315,0.428
beta_18[49],0.379,0.034,0.316,0.441
beta_18[46],0.259,0.065,0.145,0.38
beta_18[37],0.377,0.032,0.319,0.441
beta_18[31],0.373,0.032,0.312,0.431
beta_18[9],0.415,0.057,0.304,0.518
beta_18[16],0.381,0.032,0.323,0.444
beta_18[28],0.377,0.031,0.32,0.432
beta_18[41],0.38,0.031,0.322,0.437
beta_18[11],0.219,0.04,0.145,0.296
beta_18[25],0.379,0.031,0.323,0.435
beta_18[35],0.377,0.031,0.318,0.434
beta_18[22],0.378,0.032,0.321,0.436
beta_18[27],0.416,0.056,0.308,0.52
beta_18[2],0.384,0.034,0.324,0.446
beta_18[47],0.248,0.065,0.135,0.365
beta_18[5],0.372,0.029,0.316,0.425
beta_18[36],0.37,0.032,0.312,0.427
beta_18[48],0.376,0.029,0.324,0.431
g_beta_19[0],-0.035,0.037,-0.109,0.028
g_beta_19[1],0.072,0.073,-0.076,0.204
g_beta_19[2],0.038,0.063,-0.087,0.15
beta_19[1],-0.022,0.065,-0.135,0.111
beta_19[18],-0.013,0.07,-0.139,0.12
beta_19[39],-0.041,0.086,-0.19,0.133
beta_19[8],0.049,0.084,-0.098,0.217
beta_19[10],0.024,0.078,-0.122,0.172
beta_19[0],0.081,0.097,-0.089,0.273
beta_19[19],0.003,0.077,-0.125,0.156
beta_19[12],-0.003,0.072,-0.14,0.129
beta_19[7],-0.033,0.063,-0.154,0.09
beta_19[6],0.033,0.084,-0.128,0.187
beta_19[21],-0.079,0.077,-0.229,0.066
beta_19[20],0.015,0.083,-0.125,0.177
beta_19[33],-0.032,0.063,-0.148,0.088
beta_19[45],-0.08,0.075,-0.229,0.056
beta_19[17],-0.031,0.07,-0.168,0.105
beta_19[29],-0.053,0.066,-0.205,0.05
beta_19[40],-0.04,0.086,-0.21,0.117
beta_19[38],-0.003,0.075,-0.138,0.141
beta_19[24],0.007,0.078,-0.13,0.157
beta_19[34],-0.024,0.066,-0.148,0.108
beta_19[44],-0.056,0.065,-0.19,0.054
beta_19[30],0.031,0.083,-0.126,0.187
beta_19[23],-0.071,0.068,-0.219,0.041
beta_19[32],-0.002,0.085,-0.166,0.154
beta_19[15],-0.049,0.064,-0.165,0.079
beta_19[4],-0.034,0.066,-0.159,0.099
beta_19[26],0.054,0.096,-0.115,0.241
beta_19[42],0.035,0.082,-0.126,0.186
beta_19[13],-0.05,0.063,-0.173,0.069
beta_19[14],-0.082,0.073,-0.225,0.042
beta_19[43],-0.037,0.064,-0.153,0.09
beta_19[3],-0.025,0.065,-0.143,0.102
beta_19[49],-0.012,0.071,-0.127,0.135
beta_19[46],0.078,0.089,-0.083,0.248
beta_19[37],-0.032,0.061,-0.141,0.088
beta_19[31],-0.039,0.068,-0.159,0.108
beta_19[9],0.031,0.08,-0.119,0.184
beta_19[16],0.008,0.083,-0.132,0.173
beta_19[28],-0.037,0.064,-0.152,0.096
beta_19[41],-0.05,0.064,-0.175,0.071
beta_19[11],-0.007,0.075,-0.15,0.129
beta_19[25],-0.08,0.077,-0.24,0.058
beta_19[35],-0.007,0.07,-0.123,0.142
beta_19[22],-0.019,0.068,-0.148,0.111
beta_19[27],0.02,0.086,-0.146,0.186
beta_19[2],-0.023,0.066,-0.141,0.105
beta_19[47],0.097,0.091,-0.072,0.264
beta_19[5],-0.024,0.066,-0.143,0.112
beta_19[36],-0.031,0.065,-0.142,0.108
beta_19[48],-0.019,0.067,-0.144,0.113
g_beta_20[0],0.168,0.02,0.133,0.204
g_beta_20[1],-0.038,0.042,-0.113,0.045
g_beta_20[2],-0.067,0.036,-0.133,-0.004
beta_20[1],0.154,0.039,0.076,0.223
beta_20[18],0.17,0.032,0.113,0.236
beta_20[39],0.104,0.04,0.025,0.177
beta_20[8],0.109,0.052,-0.003,0.201
beta_20[10],0.102,0.035,0.037,0.169
beta_20[0],0.129,0.044,0.046,0.212
beta_20[19],0.182,0.036,0.113,0.249
beta_20[12],0.101,0.036,0.037,0.172
beta_20[7],0.166,0.033,0.105,0.229
beta_20[6],0.135,0.044,0.05,0.22
beta_20[21],0.171,0.033,0.103,0.23
beta_20[20],0.162,0.035,0.091,0.219
beta_20[33],0.173,0.034,0.107,0.239
beta_20[45],0.169,0.033,0.103,0.23
beta_20[17],0.177,0.033,0.119,0.245
beta_20[29],0.181,0.036,0.115,0.251
beta_20[40],0.101,0.04,0.026,0.178
beta_20[38],0.164,0.035,0.092,0.226
beta_20[24],0.1,0.039,0.031,0.177
beta_20[34],0.168,0.031,0.111,0.226
beta_20[44],0.157,0.036,0.086,0.221
beta_20[30],0.14,0.045,0.057,0.225
beta_20[23],0.168,0.034,0.104,0.232
beta_20[32],0.127,0.045,0.038,0.208
beta_20[15],0.17,0.031,0.112,0.229
beta_20[4],0.151,0.039,0.072,0.218
beta_20[26],0.083,0.043,0.005,0.168
beta_20[42],0.12,0.045,0.036,0.206
beta_20[13],0.168,0.035,0.103,0.236
beta_20[14],0.167,0.032,0.105,0.229
beta_20[43],0.164,0.035,0.094,0.227
beta_20[3],0.179,0.035,0.114,0.249
beta_20[49],0.173,0.036,0.102,0.24
beta_20[46],0.074,0.052,-0.023,0.169
beta_20[37],0.171,0.033,0.111,0.235
beta_20[31],0.156,0.038,0.077,0.223
beta_20[9],0.134,0.044,0.053,0.215
beta_20[16],0.165,0.034,0.104,0.233
beta_20[28],0.174,0.032,0.115,0.237
beta_20[41],0.171,0.031,0.114,0.231
beta_20[11],0.1,0.037,0.026,0.167
beta_20[25],0.178,0.034,0.119,0.249
beta_20[35],0.171,0.034,0.105,0.233
beta_20[22],0.166,0.032,0.106,0.227
beta_20[27],0.135,0.044,0.055,0.213
beta_20[2],0.157,0.034,0.094,0.221
beta_20[47],0.065,0.051,-0.032,0.154
beta_20[5],0.173,0.032,0.11,0.234
beta_20[36],0.17,0.034,0.103,0.233
beta_20[48],0.159,0.035,0.096,0.224
g_beta_21[0],-0.418,0.059,-0.525,-0.318
g_beta_21[1],0.045,0.113,-0.16,0.267
g_beta_21[2],0.176,0.103,-0.0,0.382
beta_21[1],-0.422,0.07,-0.557,-0.295
beta_21[18],-0.42,0.076,-0.565,-0.273
beta_21[39],-0.245,0.103,-0.458,-0.063
beta_21[8],-0.358,0.103,-0.553,-0.163
beta_21[10],-0.233,0.104,-0.436,-0.056
beta_21[0],-0.37,0.096,-0.553,-0.193
beta_21[19],-0.43,0.074,-0.561,-0.288
beta_21[12],-0.246,0.102,-0.446,-0.065
beta_21[7],-0.413,0.071,-0.541,-0.274
beta_21[6],-0.364,0.096,-0.539,-0.179
beta_21[21],-0.436,0.072,-0.567,-0.299
beta_21[20],-0.407,0.078,-0.552,-0.257
